Date,Price,Open,High,Low,Vol.,Change %
11/13/2020,303,309.6,309.6,300,150.51K,-2.38%
11/11/2020,310.4,310,313,309.2,156.27K,0.13%
11/10/2020,310,310,313,304,453.90K,-0.96%
11/9/2020,313,300.2,313,298,285.77K,4.26%
11/6/2020,300.2,297.8,301,296.8,272.20K,1.42%
11/5/2020,296,302,305.4,296,269.99K,-1.66%
11/4/2020,301,300,302.4,296,386.99K,0.40%
11/3/2020,299.8,300,300.6,295,173.29K,-0.07%
10/30/2020,300,295,300,291,316.33K,2.04%
10/29/2020,294,293,295,290,295.81K,1.03%
10/28/2020,291,290,295,290,166.99K,-1.36%
10/27/2020,295,297.8,297.8,293,120.03K,-1.01%
10/26/2020,298,295,298.8,294,140.69K,1.02%
10/23/2020,295,295,295,289.2,320.44K,0.00%
10/22/2020,295,284.8,295,281.2,801.19K,3.51%
10/21/2020,285,290,291,285,256.05K,-1.45%
10/20/2020,289.2,289.6,291.6,286,201.02K,-0.14%
10/19/2020,289.6,290,290,285,166.50K,-0.82%
10/16/2020,292,285.4,293.8,285.4,528.56K,2.31%
10/15/2020,285.4,283.8,286.8,281.8,257.37K,0.56%
10/14/2020,283.8,283.8,283.8,281.2,223.33K,-0.07%
10/13/2020,284,281,284,279.6,128.06K,1.07%
10/12/2020,281,274,284.6,273.8,364.56K,2.70%
10/9/2020,273.6,276.6,276.6,272.6,346.90K,-1.08%
10/8/2020,276.6,272.6,276.6,270,177.56K,1.69%
10/7/2020,272,272,273,269.2,247.13K,0.00%
